INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (5, 'Elizabeth Pines', 'Suite 666', 1049, 'pet-friendly', 'forward.jpg', 2, 2, 'single', NULL, 1926.9, '2025-01-14', '24 months', 'any', 'yes', 'yes', 'no', 'non-veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (7, 'Denise Ferry', 'Suite 713', 2984, 'cozy room', 'represent.jpg', 3, 2, 'single', NULL, 1989.35, '2023-12-28', '8 months', 'any', 'yes', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (9, 'Shane Flat', 'Apt. 765', 2040, 'spacious apartment', 'control.jpg', 1, 2, 'sharing', 2.0, 445.18, '2024-03-18', '23 months', 'yes', 'no', 'no', 'yes', 'veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (10, 'Hall Groves', 'Apt. 735', 1671, 'elegant house', 'may.jpg', 4, 1, 'single', NULL, 1021.02, '2023-05-14', '14 months', 'any', 'any', 'yes', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (11, 'Tara Union', 'Apt. 973', 2219, 'gym facility', 'view.jpg', 4, 1, 'single', NULL, 1983.4, '2024-01-07', '21 months', 'any', 'any', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (12, 'Park Path', 'Suite 535', 1074, 'modern flat', 'agent.jpg', 3, 2, 'sharing', 3.0, 1104.94, '2024-06-27', '21 months', 'any', 'any', 'yes', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (15, 'Richard Burg', 'Suite 287', 892, 'gated community', 'full.jpg', 2, 2, 'single', NULL, 1222.37, '2025-02-25', '24 months', 'any', 'no', 'yes', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (16, 'Ochoa Pike', 'Suite 150', 514, 'spacious apartment', 'toward.jpg', 1, 1, 'sharing', 3.0, 944.36, '2024-09-16', '17 months', 'any', 'any', 'yes', 'yes', 'veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (17, 'Green Mountains', 'Suite 157', 920, 'elegant house', 'behind.jpg', 4, 2, 'single', NULL, 980.48, '2023-06-27', '13 months', 'any', 'yes', 'yes', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (19, 'Edwards Views', 'Apt. 062', 2028, 'pool access', 'prove.jpg', 1, 1, 'sharing', 2.0, 332.7, '2024-03-03', '14 months', 'yes', 'any', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (20, 'Christopher Glen', 'Apt. 775', 1097, 'gated community', 'research.jpg', 4, 2, 'sharing', 5.0, 2533.95, '2024-05-23', '8 months', 'any', 'no', 'no', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (22, 'Miles Brooks', 'Apt. 009', 1562, 'gated community', 'fire.jpg', 3, 2, 'sharing', 3.0, 2670.29, '2024-02-10', '7 months', 'no', 'any', 'no', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (23, 'Reese Harbor', 'Suite 860', 1208, 'pet-friendly', 'watch.jpg', 3, 1, 'sharing', 2.0, 2038.7, '2024-05-12', '20 months', 'no', 'any', 'no', 'no', 'non-veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (27, 'Natalie Center', 'Apt. 031', 612, 'cozy room', 'general.jpg', 4, 2, 'single', NULL, 1801.81, '2025-01-11', '24 months', 'any', 'any', 'no', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (30, 'Michelle Skyway', 'Suite 904', 851, 'pool access', 'write.jpg', 3, 2, 'single', NULL, 1291.09, '2023-08-14', '24 months', 'any', 'any', 'no', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (31, 'Michaela Meadow', 'Apt. 271', 894, 'cozy room', 'pull.jpg', 3, 1, 'sharing', 2.0, 1200.83, '2025-04-20', '12 months', 'any', 'no', 'yes', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (36, 'Angela Extensions', 'Apt. 504', 1509, 'cozy room', 'beautiful.jpg', 3, 1, 'single', NULL, 377.77, '2024-08-08', '10 months', 'any', 'yes', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (37, 'Joseph Turnpike', 'Suite 661', 1647, 'pet-friendly', 'perhaps.jpg', 1, 1, 'single', NULL, 873.21, '2023-06-19', '13 months', 'any', 'any', 'yes', 'yes', 'veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (38, 'David Road', 'Apt. 723', 1647, 'gym facility', 'toward.jpg', 3, 2, 'sharing', 4.0, 1519.64, '2024-08-27', '11 months', 'yes', 'any', 'yes', 'yes', 'veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (39, 'Michael Plains', 'Suite 362', 1332, 'pet-friendly', 'worry.jpg', 1, 1, 'single', NULL, 1306.01, '2023-11-01', '20 months', 'any', 'yes', 'no', 'no', 'veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (41, 'Thompson Square', 'Suite 998', 1271, 'spacious apartment', 'about.jpg', 1, 1, 'sharing', 5.0, 1259.91, '2023-06-18', '12 months', 'any', 'yes', 'no', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (43, 'Branch Skyway', 'Suite 485', 1956, 'spacious apartment', 'much.jpg', 1, 1, 'single', NULL, 1189.37, '2024-09-08', '13 months', 'any', 'any', 'no', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (47, 'Reid Lodge', 'Suite 195', 2269, 'modern flat', 'design.jpg', 4, 2, 'single', NULL, 1926.69, '2024-06-01', '20 months', 'yes', 'any', 'yes', 'no', 'veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (49, 'Casey Trail', 'Apt. 049', 705, 'elegant house', 'theory.jpg', 2, 2, 'sharing', 2.0, 1665.85, '2024-03-06', '11 months', 'any', 'any', 'no', 'yes', 'non-veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (50, 'Sanchez Rue', 'Suite 030', 2935, 'gym facility', 'stay.jpg', 1, 2, 'single', NULL, 1165.12, '2024-07-21', '11 months', 'yes', 'any', 'yes', 'no', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (51, 'Kevin Falls', 'Apt. 668', 989, 'cozy room', 'executive.jpg', 2, 1, 'single', NULL, 1125.09, '2023-09-21', '8 months', 'any', 'no', 'yes', 'no', 'non-veg', 'San Jose', 'NULL');
