match_id,seeker_id,listing_id,status,generated_datetime,updated_datetime
1,1,441,accepted,2023-12-15 11:41:08.969050,2024-03-04 14:03:34.071672
2,1,32,no_action,2023-09-13 23:40:37.287733,2023-09-13 23:40:37.287733
3,1,101,no_action,2024-01-26 18:16:09.852571,2024-01-26 18:16:09.852571
4,1,114,no_action,2023-09-06 06:08:57.778300,2023-09-06 06:08:57.778300
5,1,125,no_action,2023-09-20 00:13:15.348585,2023-09-20 00:13:15.348585
6,2,101,accepted,2023-08-23 21:11:48.128153,2023-10-26 00:23:37.749405
7,2,329,accepted,2024-02-28 14:30:25.175172,2024-04-30 15:15:10.168831
8,2,32,no_action,2023-10-04 13:06:40.443778,2023-10-04 13:06:40.443778
9,2,261,no_action,2023-08-09 10:23:09.415060,2023-08-09 10:23:09.415060
10,2,266,no_action,2023-09-29 15:28:17.131980,2023-09-29 15:28:17.131980
11,4,17,declined,2024-04-26 16:20:18.436557,2024-04-28 13:15:24.425630
12,4,32,no_action,2024-04-01 23:53:00.439987,2024-04-01 23:53:00.439987
13,4,70,no_action,2024-02-26 08:42:05.613353,2024-02-26 08:42:05.613353
14,4,97,no_action,2023-12-31 11:41:44.208958,2023-12-31 11:41:44.208958
15,4,101,no_action,2023-06-01 01:54:12.677508,2023-06-01 01:54:12.677508
16,6,19,declined,2024-03-07 06:46:55.549471,2024-05-04 02:42:33.652298
17,6,277,no_action,2023-09-23 15:40:49.351131,2023-09-23 15:40:49.351131
18,6,514,no_action,2023-10-09 13:36:27.803661,2023-10-09 13:36:27.803661
19,6,8,declined,2024-03-04 03:35:09.743680,2024-04-11 09:23:16.762568
20,6,16,no_action,2024-03-25 05:27:05.104518,2024-03-25 05:27:05.104518
21,8,32,declined,2024-01-02 13:39:27.248640,2024-01-22 15:26:43.299896
22,8,329,declined,2023-12-02 16:02:19.696580,2024-03-19 11:29:40.354918
23,8,33,declined,2023-09-22 03:58:03.270851,2023-12-15 07:36:29.928253
24,8,64,declined,2023-05-23 18:50:40.144713,2023-09-12 21:31:13.019980
25,8,101,declined,2024-02-12 07:17:59.449281,2024-03-05 10:22:48.594313
26,13,3,no_action,2023-11-22 11:16:58.111425,2023-11-22 11:16:58.111425
27,13,132,no_action,2023-08-26 09:21:40.337589,2023-08-26 09:21:40.337589
28,13,161,no_action,2023-07-04 02:02:24.407171,2023-07-04 02:02:24.407171
29,13,343,no_action,2023-10-05 06:35:20.530723,2023-10-05 06:35:20.530723
30,13,474,no_action,2023-05-24 23:36:17.025280,2023-05-24 23:36:17.025280
31,14,33,no_action,2024-02-14 06:32:33.769983,2024-02-14 06:32:33.769983
32,14,71,no_action,2023-09-04 07:49:37.672874,2023-09-04 07:49:37.672874
